countryname,year,AG_LND_AGRI_ZS,AG_LND_ARBL_HA_PC,AG_LND_CREL_HA,AG_LND_CROP_ZS,AG_LND_FRST_ZS,AG_LND_PRCP_MM,AG_PRD_CROP_XD,AG_PRD_FOOD_XD,AG_PRD_LVSK_XD,AG_YLD_CREL_KG,BG_GSR_NFSV_GD_ZS,BN_KLT_DINV_CD,BX_KLT_DINV_WD_GD_ZS,EG_CFT_ACCS_ZS,EG_ELC_ACCS_ZS,EG_ELC_FOSL_ZS,EG_ELC_RNEW_ZS,EG_FEC_RNEW_ZS,EG_IMP_CONS_ZS,EG_USE_COMM_CL_ZS,EG_USE_COMM_FO_ZS,EG_USE_PCAP_KG_OE,EN_ATM_PM25_MC_M3,EN_GHG_ALL_PC_CE_AR5,EN_GHG_CH4_AG_MT_CE_AR5,EN_GHG_CH4_BU_MT_CE_AR5,EN_GHG_CO2_AG_MT_CE_AR5,EN_GHG_CO2_BU_MT_CE_AR5,EN_GHG_N2O_AG_MT_CE_AR5,EN_GHG_N2O_BU_MT_CE_AR5,EN_GHG_N2O_WA_MT_CE_AR5,EN_POP_DNST,EN_URB_LCTY_UR_ZS,ER_FSH_AQUA_MT,FD_AST_PRVT_GD_ZS,FP_CPI_TOTL_ZG,IT_NET_USER_ZS,MS_MIL_TOTL_TF_ZS,MS_MIL_XPND_GD_ZS,NE_CON_PRVT_KD,NE_CON_PRVT_ZS,NE_EXP_GNFS_ZS,NE_IMP_GNFS_ZS,NE_TRD_GNFS_ZS,NV_AGR_TOTL_ZS,NV_IND_MANF_ZS,NV_IND_TOTL_ZS,NV_SRV_TOTL_ZS,NY_GDP_DEFL_KD_ZG,NY_GDP_PCAP_KD,PV_EST,RL_EST,SG_GEN_PARL_ZS,SH_STA_SUIC_P5,SL_UEM_TOTL_NE_ZS,SP_RUR_TOTL_ZS,SP_URB_TOTL_IN_ZS,TG_VAL_TOTL_GD_ZS,TM_VAL_AGRI_ZS_UN,TM_VAL_FOOD_ZS_UN,TX_VAL_AGRI_ZS_UN,TX_VAL_FOOD_ZS_UN,countrycode,ad_ob,ln_gdppc,ln_gdppc_sq,ln_gdppc_cb,id,advanced_country
Albania,2000,41.75182481751825,.1871139358768959,.1782,4.416058394160584,28.07664233576642,1485,51.88,63.53,80.43000000000001,3175.1,24.78958310575294,-143,3.989320711369199,35.2,99.40000000000001,3.850983675177898,96.1490163248221,41.4,46.5181540098418,22.06,58.78,581.374748988005,22.2651885663762,2.324259386531746,2.3928,.07,.0166,.7679,.7438,.0306,.0975,112.7382116788321,26.0073166324257,.000307,4.729266823231613,.0500181363468309,.114,5.137170050983559,1.24636024189216,4.244113529601326,78.77662173744989,19.5304708980011,42.07879014563963,61.60926104364073,22.17901394736872,4.711459153222595,21.71218530583102,42.11593903777323,5.919573465250579,1991.914358671158,-.539989590644836,-1.02066767215729,5.16129032258065,4.78,16.8,58.259,41.741,37.71721399839971,.9374866571903768,21.83448944069328,5.970691794204833,6.627951901977491,ALB,12.76,7.5968513,57.712151,438.43063,6,0
Albania,2002,41.60583941605839,.1894454623223129,.1576,4.416058394160584,28.16985401459854,1485,52.12,65.88,84.53,3291.9,25.96255129192163,-135,2.990031158588837,41.4,99.40000000000001,6.046013911182451,93.96120920278224,35.8,54.02541118518423,15.04,63.29,661.1179516320497,22.4827851202514,2.618608264148593,2.3091,.0904,.0517,1.1738,.7949000000000001,.0346,.1006,111.3507299270073,26.46772953994063,.00086,6.236586134194284,7.77052583431552,.39,2.070079077020742,1.32003449433204,4.797089171103515,75.83760884736772,20.17118593331346,45.82027910036672,65.99146503368017,19.76391646968093,4.307757976209385,26.23832657373539,40.86930149138123,3.903881411004278,2297.108535139244,-.297719180583954,-.762321412563324,5.71428571428571,4.28,4.615,56.499,43.501,40.84161078842826,.9657842573733481,20.17252984797937,6.516126590838462,3.564582012538539,ALB,13.4,7.7394066,59.898415,463.57819,6,0
Albania,2003,40.91240875912408,.1901555986019287,.15334,4.416058394160584,28.2164598540146,1485,54.89,69.05,87.79000000000001,3185.7,26.69332543528198,-178.0364006666667,3.068687301684749,45.1,99.40000000000001,2.143429487179487,97.86197916666667,33.7,51.55677101610605,21.38,64.59,649.3578811073504,22.5934493496412,2.690603023539816,2.341,.0613,.0386,1.0463,.7527,.0326,.102,110.9348905109489,26.42325928812679,.001473,7.404985308699569,.48400261181847,.972,1.704793336427791,1.33684292419802,5.284754324949538,76.72281164660428,20.16388037864613,44.65933471743156,64.8232150960777,19.80762033146923,4.3432071193413,27.08468775580396,39.09755515282549,4.937492552248514,2428.689346535625,-.309780240058899,-.716323494911194,5.71428571428571,4.47,15,55.427,44.573,39.85030597635235,1.000180619006651,19.62560296207361,5.143025785760747,5.629011284289251,ALB,13.74,7.7951069,60.763691,473.65945,6,0
Albania,2004,40.94890510948905,.1909519815232484,.1439,4.416058394160584,28.26306569343065,1485,58.48,72.33,90.87,3466.3,29.10366295456171,-327.6812101714077,4.60782278585291,47.8,99.40000000000001,2.497324295397788,97.5074919728862,35.8,48.36983450599566,21.73,65.64,716.6231458847667,22.6759229494045,2.770818969262347,2.2458,.0814,.06,.8853,.8212,.0161,.1029,110.4722262773723,26.40292424238038,.001569,9.343534727550489,2.28001916938101,2.42,1.685314871688748,1.38115794211088,5.538747278994996,74.41390918974086,21.55175222222148,43.48618609654827,65.03793831876975,18.5630799913995,4.474331529347484,27.72997521772941,39.55989882729256,3.095366546389727,2567.297636871214,-.427259683609009,-.701032340526581,6.42857142857143,4.44,14.4,54.349,45.651,39.34304516871529,1.071021385000307,19.264186578718,4.490984200210776,5.797312609672085,ALB,14.09,7.8506093,61.632065,483.84927,6,0
Albania,2005,39.3065693430657,.1786492852202251,.147655,4.416058394160584,28.30967153284671,1485,58.38,71.11,88.20999999999999,3462.1,32.08979644235691,-258.417488710474,3.178998145447221,51.5,99.40000000000001,1.286055484108029,98.71890501561639,36.8,50.5736000967914,21.38,66.56,721.077407396492,22.7081299710953,2.648990349285917,2.2002,.0792,.0103,.7072000000000001,.6959,.0267,.1038,109.9082846715328,26.41963535796967,.001473,14.99493140676949,2.36658195679796,6.04,1.78613955703739,1.35000497056322,5.930345760582535,74.76304590730547,22.44278183972673,46.67351082050546,69.11629266023219,17.12471789557287,4.794124734827287,28.13721316044884,40.39813189812173,3.143705053750793,2712.869838303312,-.5050479769706731,-.763833165168762,7.14285714285714,6.8,6.566,53.269,46.731,39.70129198546301,1.108976340805395,16.24302617790395,13.94427201510769,9.764589199838762,ALB,14.46,7.9057622,62.501076,494.11865,6,0
Albania,2006,40.87591240875913,.1951514880133879,.14087,4.416058394160584,28.35627737226277,1485,61.97,73.84999999999999,89.73999999999999,3602.6,35.18163073578435,-314.6383168036966,3.553219137815681,54.7,99.40000000000001,1.68356263577118,98.32132512671977,31.6,41.2400076668958,22.15,64.51000000000001,707.8906065496349,22.5109695957413,2.680893566583917,2.1779,.0798,.0422,.9375,.7474,.0461,.1045,109.2170437956204,26.48044638077387,.002057,21.694385269331,2.37072831904282,9.610000000000001,.9260027200323376,1.56776908873068,6.336288994360669,75.2908167462966,24.50859193240066,47.69331701596671,72.20190894836738,16.04157503348679,5.309709539260515,28.42842552057834,40.19919728410679,2.68476832531357,2894.360325801738,-.508157312870026,-.703135848045349,7.14285714285714,6.88,13.8,52.185,47.815,42.07407424345387,1.190219205693466,19.96638621113903,13.11936083740187,7.944459749387027,ALB,14.85,7.9705195,63.529182,506.3606,6,0
Albania,2007,40.83941605839416,.1946116806738817,.13239,4.37956204379562,28.40288321167883,1485,61.1,74.88,93.17,3728.4,36.24193138573008,-647.3652838064905,5.867403518476286,57.65,99.40000000000001,2.517482517482518,97.49195804195804,32,49.34986713906076,12.16,65.18000000000001,680.9481661867121,22.0412299650015,2.685843212345249,2.0644,.0746,.0418,.7209,.7161,.0244,.1052,108.3947810218978,26.58658301650099,.002092,28.73822540504958,2.93268248162323,15,1.1865745230175,1.8207653435572,7.24233272129962,79.5954981134403,27.13081991240459,52.78108097959085,79.91190089199543,15.5325494481234,5.731781570638864,28.57725456700445,40.54517050032168,5.149567760728772,3105.879675638599,-.203974649310112,-.661545991897583,7.14285714285714,7.03,15.966,51.098,48.902,47.40514035154777,.9332646453525559,16.43449067150535,3.384378146784554,5.304402746355088,ALB,15.25,8.0410519,64.658516,519.92249,6,0
Albania,2009,43.84306569343065,.2080259769449831,.1462,3.175182481751825,28.49609489051095,1485,75.19,79.91,86.27,4315.3,39.64249394135715,-950.7613876220756,10.90682014809631,63.7,99.59999999999999,.0192233756247597,99.98865820838138,37.1,46.41058984361958,21.12,63.51,734.0578099498621,21.0110429073679,2.644081900066233,1.8525,.0745,.0267,.5602,.6569,.0218,.1075,106.8437591240876,26.82048606931236,.002317,35.91564353004596,2.26692209450831,41.2,1.18224065272192,1.5172171395597,8.116866138684832,80.07580501386697,24.64462446097196,48.67673310364496,73.32135756461692,15.27922172715277,5.656708948190933,27.56787229621667,42.00402386019379,2.570340089389035,3459.246956466921,-.0451405122876167,-.49437016248703,16.4285714285714,7.02,13.674,48.924,51.076,45.75397347670157,.9972952220422878,17.08738953911809,2.987539828735612,5.669017115825848,ALB,16.110001,8.1488066,66.403046,541.10559,6,0
Albania,2010,43.84306569343065,.2148971806245132,.1457,2.554744525547445,28.54270072992701,1485,82.73999999999999,85.68000000000001,89.69,4761.8,37.97399161181894,-1043.511678057718,9.017449980498892,66.2,99.59999999999999,.0132135306553911,99.99392177589851,37,28.96221442110351,30.87,63.34,731.0533974593559,20.8141104654758,2.762836244572215,1.8668,.0724,.0226,.5707,.6489,.0215,.109,106.3146350364964,26.89647184405065,.00252,36.87127811531325,3.62604695579816,45,1.171015984427751,1.55859189302349,8.144803788049112,76.13062431216831,27.60992967010468,47.92260329863315,75.53253296873783,16.35860819142524,5.960640217481173,27.47491428396009,41.31318459213185,4.127443891207989,3579.824131810459,-.191482901573181,-.385760486125946,16.4285714285714,6.77,14.086,47.837,52.163,49.2282921571006,1.003346440882521,17.94665115244681,2.420053709869715,4.507306880980298,ALB,16.57,8.1830692,66.962624,547.95978,6,0
Albania,2011,43.83211678832117,.2140992256974145,.147599,2.700729927007299,28.59465328467153,1485,87.45,89.92,93.33,4750.7,39.0182298653461,-846.6166816191778,8.083292858260668,69.09999999999999,99.7,1.407778573132904,98.61059413027917,35.8,35.89476956722169,16.47,61.6,766.8946175148244,22.7999042481871,2.918633688960638,1.8729,.0709,.0302,.5688,.6654,.0248,.1108,106.0290145985401,26.92457119880745,.002345,39.06270572452217,3.42912324722163,47,1.071229888112762,1.52826633776627,8.295834245162746,76.87940915033981,29.05447380226332,51.64452472763203,80.69899852989536,16.72022294917863,6.192222426199036,26.94098650246878,42.23901955254625,1.69479180198789,3677.894579377168,-.282379418611526,-.442926466464996,15.7142857142857,6.91,13.481,46.753,53.247,56.49867371395943,.9527012382034156,16.63100461640832,2.602337126541058,4.159601434201583,ALB,17.040001,8.2100954,67.40567,553.40698,6,0
